LAT,LON,YEAR,MO,DY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,RH2M,T2M_MAX,T2M_MIN
4.5,-72.5,2022,1,28,6.97,6.52,46.49,37.55,20.93
5.5,-72.5,2022,1,28,7.06,6.53,57.44,27.6,15.01
6.5,-72.5,2022,1,28,7.19,6.53,59.86,21.81,3.69
2.5,-72.5,2022,1,29,7.01,5.66,85.69,30.32,20.95
3.5,-72.5,2022,1,29,6.91,5.51,56.89,36.66,21.05
4.5,-72.5,2022,1,29,6.71,5.32,46.66,38.01,22.33
5.5,-72.5,2022,1,29,6.82,5.46,63.31,27.85,14.96
6.5,-72.5,2022,1,29,6.9,5.54,67.05,20.95,5.62
2.5,-72.5,2022,1,30,6.94,6.58,85.67,28.84,21.49
3.5,-72.5,2022,1,30,6.83,6.36,56.92,34.92,22.46
4.5,-72.5,2022,1,30,6.76,6.09,42.26,36.73,25.05
5.5,-72.5,2022,1,30,6.9,5.8,60.98,26.93,15.74
6.5,-72.5,2022,1,30,7.06,5.62,75.81,20.1,8.11
2.5,-72.5,2022,1,31,6.83,5.59,83.65,29.88,20.87
3.5,-72.5,2022,1,31,6.74,5.52,53.68,35.88,21.49
4.5,-72.5,2022,1,31,6.77,5.66,43.3,36.96,23.39
5.5,-72.5,2022,1,31,6.91,4.61,63.83,25.25,15.18
6.5,-72.5,2022,1,31,7.16,5.12,75.65,19.8,7.67
2.5,-72.5,2022,2,1,7.02,6.51,84.98,31.11,21.88
3.5,-72.5,2022,2,1,6.91,6.46,56.95,37.62,21.97
4.5,-72.5,2022,2,1,6.79,5.86,37.15,39.08,25.17
5.5,-72.5,2022,2,1,6.96,5.13,59.45,25.5,15.14
6.5,-72.5,2022,2,1,7.18,5.11,75.35,17.79,7.34
2.5,-72.5,2022,2,2,6.98,6.05,83.32,30.71,23.41
3.5,-72.5,2022,2,2,6.94,5.84,60.17,36.05,24.22
4.5,-72.5,2022,2,2,6.92,6.2,40.44,38.38,24.57
5.5,-72.5,2022,2,2,7.11,6.12,59.77,27.56,14.58
6.5,-72.5,2022,2,2,7.2,5.96,71.77,20.19,6.4
2.5,-72.5,2022,2,3,6.84,4.18,85.88,30.17,23.37
3.5,-72.5,2022,2,3,6.77,4.12,67.59,34.06,24.7
4.5,-72.5,2022,2,3,6.7,4.49,46.64,36.03,26.7
5.5,-72.5,2022,2,3,6.84,4.76,67.8,25.96,16.69
6.5,-72.5,2022,2,3,7.13,5.43,76.67,19.48,8.52
2.5,-72.5,2022,2,4,6.77,4.87,88.54,29.46,23.29
3.5,-72.5,2022,2,4,6.71,5.14,71.36,33.91,24.36
4.5,-72.5,2022,2,4,6.53,5.17,48.63,36.46,25.75
5.5,-72.5,2022,2,4,6.7,3.84,70.63,24.04,17.05
6.5,-72.5,2022,2,4,6.73,3.65,82.03,16.97,9.74
2.5,-72.5,2022,2,5,6.74,3.37,91.36,28.76,23.44
3.5,-72.5,2022,2,5,6.67,3.15,79.76,31.16,22.58
4.5,-72.5,2022,2,5,6.46,3.19,71.12,32.9,23.87
5.5,-72.5,2022,2,5,6.6,2.48,79.24,22.23,16.27
6.5,-72.5,2022,2,5,6.86,2.92,83.18,16.42,9.68
2.5,-72.5,2022,2,6,6.76,4.4,87.21,29.42,21.75
3.5,-72.5,2022,2,6,6.7,4.19,71.12,34.86,21.81
4.5,-72.5,2022,2,6,6.68,3.53,60.43,35.73,23.05
5.5,-72.5,2022,2,6,6.85,3.46,76.77,23.72,15.33
6.5,-72.5,2022,2,6,6.85,3.6,83.41,17.05,7.67
2.5,-72.5,2022,2,7,6.79,3.16,89.53,28.67,23.18
3.5,-72.5,2022,2,7,6.71,3.46,77.41,31.39,23.36
4.5,-72.5,2022,2,7,6.65,3.87,67.3,32.82,24.97
5.5,-72.5,2022,2,7,6.85,3.56,80.47,24.38,16.45
6.5,-72.5,2022,2,7,6.9,3.08,90.5,15.05,9.17
2.5,-72.5,2022,2,8,6.82,3.45,96.17,25.45,22.09
3.5,-72.5,2022,2,8,6.76,3.4,86.92,29.23,23.32
4.5,-72.5,2022,2,8,6.73,2.98,82.44,30.73,24.11
5.5,-72.5,2022,2,8,6.74,2.19,87.93,22.89,16.39
6.5,-72.5,2022,2,8,6.98,2.38,89.93,14.91,8.53
2.5,-72.5,2022,2,9,6.76,3.68,89.2,29.18,21.59
3.5,-72.5,2022,2,9,6.68,3.36,83.88,29.74,22.87
4.5,-72.5,2022,2,9,6.6,3.58,80.29,30.41,23.49
5.5,-72.5,2022,2,9,6.82,3.71,85.5,22.12,15.57
6.5,-72.5,2022,2,9,6.98,3.61,87.88,16.7,7.51
2.5,-72.5,2022,2,10,6.94,4.77,90.76,27.83,22.2
3.5,-72.5,2022,2,10,6.88,4.4,81.19,30.58,22.61
4.5,-72.5,2022,2,10,6.87,4.65,65.07,35.58,23.38
5.5,-72.5,2022,2,10,7.17,3.91,74.79,23.78,15.67
6.5,-72.5,2022,2,10,7.2,4.98,82.82,18.54,7.78
2.5,-72.5,2022,2,11,6.98,5.94,88.71,29.85,22.39
3.5,-72.5,2022,2,11,6.93,4.91,75.43,33.32,22.77
4.5,-72.5,2022,2,11,6.83,4.3,64.08,35.42,24.2
5.5,-72.5,2022,2,11,7.01,3.43,77.35,23.66,16.64
6.5,-72.5,2022,2,11,7.28,4.4,80.8,18.69,8.4
2.5,-72.5,2022,2,12,7.02,5.95,88.41,29.9,23.41
3.5,-72.5,2022,2,12,6.96,5.52,72.95,34.08,23.06
4.5,-72.5,2022,2,12,6.85,5.07,57.79,36.85,23.59
5.5,-72.5,2022,2,12,7.02,4.49,73.03,25.53,15.53
6.5,-72.5,2022,2,12,7.13,4.67,80.49,18.35,8.92
2.5,-72.5,2022,2,13,7.06,5.83,87.18,29.7,23.42
3.5,-72.5,2022,2,13,7.02,6.34,71.12,34.78,24.1
4.5,-72.5,2022,2,13,7.06,6.78,55.27,36.61,24.1
